sadness,joy,love,anger,fear,surprise,label
0.7347614169120789,0.21071235835552216,0.01975356414914131,0.017054852098226547,0.009674130007624626,0.00804372038692236,1
0.8366860151290894,0.15128012001514435,0.007433315273374319,0.002197777386754751,0.0015259534120559692,0.0008768573170527816,1
0.9945220947265625,0.003945267293602228,0.0008182880119420588,0.00030629869434051216,0.0002578435523901135,0.00015014270320534706,0
0.5629966855049133,0.3384203314781189,0.07301115244626999,0.013819788582623005,0.010411429218947887,0.001340603339485824,1
0.73573899269104,0.13064566254615784,0.09157048165798187,0.037966880947351456,0.0024262117221951485,0.0016517690382897854,0
0.8052231669425964,0.13342683017253876,0.03739582747220993,0.016872484236955643,0.00580211728811264,0.0012795114889740944,0
0.6295397877693176,0.3176971673965454,0.04556436464190483,0.004221055656671524,0.0017107580788433552,0.0012668760027736425,1
0.7692724466323853,0.14645859599113464,0.060393452644348145,0.02098654955625534,0.0017240745946764946,0.0011649690568447113,0
0.7781217098236084,0.11671186983585358,0.08199416846036911,0.01183727104216814,0.008067723363637924,0.0032672113738954067,0
0.9981151819229126,0.000841168686747551,0.00037102619535289705,0.00024251431750599295,0.00022247426386456937,0.00020759359176736325,1
0.527725100517273,0.31088560819625854,0.14566940069198608,0.009556199423968792,0.004452703986316919,0.0017110273474827409,0
0.9975696206092834,0.000991616165265441,0.0009016308467835188,0.00020343858341220766,0.00017262018809560686,0.00016088988923002034,1
0.9033246636390686,0.06202525272965431,0.01914244145154953,0.009944087825715542,0.004125490784645081,0.0014381303917616606,0
0.8745570778846741,0.12159496545791626,0.0016442997148260474,0.0010686777532100677,0.0006271190359257162,0.0005078783142380416,1
0.9615333080291748,0.02822910062968731,0.006198730785399675,0.002272887621074915,0.0010464453371241689,0.0007196473889052868,1
0.9971454739570618,0.0015480320435017347,0.0006550009129568934,0.00022168339637573808,0.00022047696984373033,0.00020926923025399446,0
0.8998355269432068,0.09436650574207306,0.0016810963861644268,0.0015964566264301538,0.0013038705801591277,0.0012164924992248416,1
0.5984818935394287,0.1964692324399948,0.12198874354362488,0.07346950471401215,0.007595647592097521,0.001995024038478732,0
0.9815673232078552,0.009801575914025307,0.0034368347842246294,0.0032601950224488974,0.001229068380780518,0.0007049163687042892,0
0.9907931685447693,0.0033610716927796602,0.002756722504273057,0.0022330081555992365,0.0004340978048276156,0.00042187588405795395,0
0.9989290833473206,0.000296528305625543,0.00023948575835675,0.0002369942667428404,0.00014906669093761593,0.00014885104610584676,1
0.5574835538864136,0.38887256383895874,0.031593821942806244,0.01767854019999504,0.0027659328188747168,0.0016055831220000982,0
0.9943763017654419,0.002383297076448798,0.0013692984357476234,0.001087666256353259,0.00039660505717620254,0.00038687826599925756,1
0.856784999370575,0.0981210321187973,0.04043801128864288,0.0021627184469252825,0.0017602363368496299,0.0007330017979256809,1
